Area,Month,Burglary,Theft,Robbery,GBV,Narcotics
Dhaka div,201901,28,70,11,216,1731
Dhaka div,201902,21,79,7,193,1647
Dhaka div,201903,22,74,8,201,1609
Dhaka div,201904,28,85,15,322,1888
Dhaka div,201905,31,88,12,331,1863
Dhaka div,201906,34,86,17,315,1350
Dhaka div,201907,29,93,13,338,1577
Dhaka div,201908,36,84,12,279,1441
Dhaka div,201909,40,119,10,330,1471
Dhaka div,201910,35,101,17,339,1326
Dhaka div,201911,31,83,16,302,1245
Dhaka div,201912,28,87,16,266,1111
Dhaka div,202001,39,95,18,253,1183
Dhaka div,202002,24,74,14,263,1186
Dhaka div,202003,25,80,18,265,1009
Dhaka div,202004,11,40,7,128,190
Dhaka div,202005,27,66,12,158,331
Dhaka div,202006,31,73,13,269,646
Dhaka div,202007,31,104,18,268,1015
Dhaka div,202008,32,59,17,318,712
Dhaka div,202009,33,112,17,370,747
Dhaka div,202010,45,107,23,470,683
Dhaka div,202011,34,100,19,358,827
Dhaka div,202012,51,91,22,278,683
Dhaka div,202101,45,132,19,279,643
Dhaka div,202102,37,116,17,277,846
Dhaka div,202103,46,107,28,332,799
Dhaka div,202104,26,118,23,301,592
Dhaka div,202105,30,98,19,304,683
Dhaka div,202106,40,112,13,363,1018
Dhaka div,202107,45,100,14,288,678
Dhaka div,202108,50,115,16,332,843
Dhaka div,202109,30,151,27,319,816
Dhaka div,202110,35,123,28,299,690
Dhaka div,202111,25,98,18,251,667
Dhaka div,202112,32,114,18,214,610
Dhaka div,202201,40,119,18,209,761
Dhaka div,202202,38,125,22,250,861
Dhaka div,202203,51,160,25,312,834
Dhaka div,202204,46,145,26,347,752
Dhaka div,202205,32,102,24,333,855
Dhaka div,202206,48,153,20,323,838
Dhaka div,202207,47,133,31,296,751
Dhaka div,202208,64,143,31,337,856
Dhaka div,202209,46,128,31,310,902
Dhaka div,202210,41,126,24,320,919
Dhaka div,202211,43,105,30,260,944
Dhaka div,202212,27,135,26,182,957
Dhaka div,202301,30,117,25,221,961
Dhaka div,202302,29,115,21,235,935
Dhaka div,202303,38,118,22,293,1041
Dhaka div,202304,23,113,35,276,949
Dhaka div,202305,34,99,17,366,1122
Dhaka div,202306,35,136,24,334,970
Dhaka div,202307,41,126,15,318,1063
Dhaka div,202308,42,117,20,298,1124
Dhaka div,202309,39,112,19,275,1016
Dhaka div,202310,47,113,28,221,812
Dhaka div,202311,34,93,19,258,666
Dhaka div,202312,37,91,18,196,801
Dhaka div,202401,38,93,29,194,824
Dhaka div,202402,32,115,27,252,1002
Dhaka div,202403,39,108,32,247,1007
Dhaka div,202404,25,103,18,281,826
Dhaka div,202405,39,88,29,323,887
Dhaka div,202406,39,91,17,278,804
Dhaka div,202407,40,81,20,286,765
Dhaka div,202408,32,51,7,185,114
Dhaka div,202409,45,82,22,253,207
Dhaka div,202410,49,93,27,225,444
Dhaka div,202411,44,86,23,217,641
Dhaka div,202412,42,93,22,187,636
Dhaka div,202501,44,106,31,229,725
Dhaka div,202502,37,111,25,229,563
Dhaka div,202503,43,144,42,375,620
Dhaka div,202504,4,96,28,345,674
Dhaka div,202505,45,121,39,375,753
Dhaka div,202506,50,104,37,318,711
Dhaka div,202507,70,142,36,364,879
Chattogram div,201901,25,51,11,147,1108
Chattogram div,201902,34,57,3,149,1444
Chattogram div,201903,29,54,5,166,1161
Chattogram div,201904,29,64,6,274,1298
Chattogram div,201905,24,81,9,295,1303
Chattogram div,201906,27,83,11,295,1173
Chattogram div,201907,51,69,13,262,1195
Chattogram div,201908,36,66,5,221,1213
Chattogram div,201909,44,90,9,290,1284
Chattogram div,201910,31,97,13,274,1075
Chattogram div,201911,25,82,14,267,1058
Chattogram div,201912,35,73,7,220,984
Chattogram div,202001,42,91,12,190,1162
Chattogram div,202002,35,89,16,239,1077
Chattogram div,202003,32,65,9,230,976
Chattogram div,202004,17,37,5,108,321
Chattogram div,202005,21,58,10,143,613
Chattogram div,202006,35,62,7,215,636
Chattogram div,202007,39,96,12,241,1303
Chattogram div,202008,53,85,10,233,748
Chattogram div,202009,55,105,18,260,765
Chattogram div,202010,47,110,20,481,810
Chattogram div,202011,30,112,13,297,815
Chattogram div,202012,40,110,12,251,884
Chattogram div,202101,34,94,9,189,920
Chattogram div,202102,33,91,11,198,891
Chattogram div,202103,24,98,12,259,1118
Chattogram div,202104,19,67,6,209,845
Chattogram div,202105,36,91,14,250,1021
Chattogram div,202106,27,108,14,294,1205
Chattogram div,202107,43,98,10,225,1040
Chattogram div,202108,49,95,16,245,1314
Chattogram div,202109,42,109,8,266,1345
Chattogram div,202110,32,105,10,265,945
Chattogram div,202111,37,80,10,214,988
Chattogram div,202112,25,74,6,209,957
Chattogram div,202201,32,94,14,187,1115
Chattogram div,202202,22,80,9,160,1136
Chattogram div,202203,28,108,14,231,1293
Chattogram div,202204,26,103,16,181,1212
Chattogram div,202205,31,86,9,213,1027
Chattogram div,202206,34,103,12,237,1172
Chattogram div,202207,42,101,15,246,1087
Chattogram div,202208,34,93,14,255,1094
Chattogram div,202209,40,107,21,230,1105
Chattogram div,202210,42,88,20,214,988
Chattogram div,202211,27,66,14,177,1077
Chattogram div,202212,28,82,13,155,1001
Chattogram div,202301,36,100,16,134,1082
Chattogram div,202302,32,96,12,142,920
Chattogram div,202303,24,63,21,170,1081
Chattogram div,202304,31,77,18,165,908
Chattogram div,202305,34,89,19,214,1052
Chattogram div,202306,32,94,16,184,975
Chattogram div,202307,48,96,15,202,1079
Chattogram div,202308,39,102,22,173,1059
Chattogram div,202309,30,107,15,185,1007
Chattogram div,202310,44,114,23,160,882
Chattogram div,202311,34,84,14,125,707
Chattogram div,202312,38,93,21,166,873
Chattogram div,202401,27,115,16,128,795
Chattogram div,202402,26,121,15,156,791
Chattogram div,202403,29,122,30,151,775
Chattogram div,202404,34,128,24,194,623
Chattogram div,202405,28,88,14,181,665
Chattogram div,202406,45,82,22,193,661
Chattogram div,202407,45,85,21,180,646
Chattogram div,202408,25,47,17,81,197
Chattogram div,202409,32,88,21,168,418
Chattogram div,202410,52,101,30,192,606
Chattogram div,202411,37,90,27,174,718
Chattogram div,202412,39,102,26,159,685
Chattogram div,202501,50,92,27,191,703
Chattogram div,202502,43,75,14,171,601
Chattogram div,202503,39,128,25,249,724
Chattogram div,202504,3,98,19,278,704
Chattogram div,202505,53,85,20,242,766
Chattogram div,202506,43,98,13,246,718
Chattogram div,202507,58,124,25,239,863
Rajshahi div,201901,5,40,8,99,1166
Rajshahi div,201902,3,25,3,128,1424
Rajshahi div,201903,4,35,2,138,1148
Rajshahi div,201904,5,46,8,212,1226
Rajshahi div,201905,10,41,5,241,1158
Rajshahi div,201906,8,29,7,250,1046
Rajshahi div,201907,8,42,4,256,1378
Rajshahi div,201908,7,43,9,196,1245
Rajshahi div,201909,9,38,9,284,1543
Rajshahi div,201910,6,41,10,230,1414
Rajshahi div,201911,7,35,6,236,1362
Rajshahi div,201912,5,43,4,204,1439
Rajshahi div,202001,5,52,8,219,1549
Rajshahi div,202002,6,43,7,204,1542
Rajshahi div,202003,7,34,3,220,1441
Rajshahi div,202004,3,23,3,160,276
Rajshahi div,202005,8,29,9,163,328
Rajshahi div,202006,7,41,4,230,650
Rajshahi div,202007,5,63,3,220,1240
Rajshahi div,202008,10,44,9,342,938
Rajshahi div,202009,12,58,6,348,969
Rajshahi div,202010,11,46,8,324,1068
Rajshahi div,202011,7,39,7,235,971
Rajshahi div,202012,6,43,4,196,766
Rajshahi div,202101,5,39,7,182,818
Rajshahi div,202102,6,39,6,158,802
Rajshahi div,202103,7,48,7,210,992
Rajshahi div,202104,3,43,5,213,889
Rajshahi div,202105,8,55,5,187,852
Rajshahi div,202106,7,65,7,231,863
Rajshahi div,202107,5,58,8,198,853
Rajshahi div,202108,10,76,7,230,1535
Rajshahi div,202109,12,64,9,245,1242
Rajshahi div,202110,11,61,8,185,1224
